Group,Gal,zmemb,ra,dec,logSFR_NUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,mag_g,mag_r,mag_i,mag_z,ebv
61,2,0.030718,56.42748324186661,-12.27369585735638,0.009605453199691638,12.4697,0.7208,12.0831,0.8355,11.7143,0.9449,11.3151,1.0634,0.0084,0.0016,0.0054,0.001,0.0067,0.0013,0.0111,0.0022,17.486998,16.99238,16.72363,16.483425,0.06335367
65,3,0.014563,67.54549287179941,6.94415958300997,0.36364128010752594,15.0621,0.5867,15.0824,0.6006,15.1017,0.6139,15.1226,0.6283,0.0211,0.0032,0.0156,0.0019,0.0182,0.0023,0.0272,0.0038,15.008377,14.340824,14.061264,13.859221,0.20575655
66,1,0.067166,70.52219347840752,-23.24916053708371,0.5655185513240042,28.1906,2.2937,26.875,2.621,25.6198,2.9333,24.2609,3.2714,0.0349,0.0028,0.0204,0.0015,0.0264,0.0021,0.0463,0.0039,20.245789,20.067642,20.010529,19.960915,0.045358613
66,2,0.067166,70.54116695597808,-23.23700230467508,0.7857985513240067,14.2687,1.9614,13.6044,1.9841,12.9705,2.0057,12.2844,2.0291,0.0137,0.0024,0.0081,0.0013,0.0102,0.0016,0.0178,0.003,20.650915,20.46947,20.466743,20.686737,0.046029452
66,4,0.067166,70.55179936391094,-23.2424223098053,0.3473985513240052,10.8155,0.5228,10.6497,0.4858,10.4916,0.4505,10.3204,0.4123,0.0241,0.0044,0.0167,0.0024,0.0252,0.0044,0.0416,0.0079,18.852335,18.72177,18.702278,18.70242,0.045703657
67,1,0.075992,71.07582040865003,-21.87990448550879,0.7012753304141395,14.9718,0.7501,14.5802,0.8468,14.2066,0.9391,13.8021,1.039,0.0087,0.0012,0.0054,0.0007,0.0069,0.001,0.0117,0.0018,20.321278,18.970041,18.453878,18.03063,0.05503123
67,2,0.075992,71.08374050309193,-21.87837950419339,0.35307533041414096,3.7449,2.285,3.7307,2.2164,3.7172,2.151,3.7026,2.0802,0.0053,0.0111,0.0035,0.0052,0.0049,0.0072,0.0082,0.0144,18.38429,17.978308,17.770647,17.657957,0.055256926
67,4,0.075992,71.12449448156778,-21.87924339533691,0.507555330414144,11.3742,1.3978,11.7379,2.1379,12.0849,2.844,12.4605,3.6085,0.0144,0.0031,0.0114,0.0024,0.0206,0.0044,0.0339,0.0073,17.323711,16.670378,16.291416,16.101013,0.056838658
67,3,0.075992,71.10617325880328,-21.86501550591355,0.36703533041413827,8.1274,1.8729,7.9062,1.5917,7.6952,1.3234,7.4668,1.0329,0.0061,0.0023,0.0038,0.0013,0.0036,0.0011,0.0057,0.0019,17.47644,16.745783,16.401695,16.160955,0.05540152
69,2,0.079085,76.1235594281997,-18.71315542993489,0.49488781900095447,10.3977,1.2858,10.1738,1.3973,9.9601,1.5038,9.7287,1.619,0.0412,0.008,0.0288,0.0054,0.0483,0.0093,0.0808,0.0158,18.712101,18.441559,18.364727,18.285076,0.05624637
69,1,0.079085,76.119033695372,-18.67883717310202,1.1599678190009541,0.9062,nan,2.6859,nan,4.384,nan,6.2222,nan,0.0424,nan,0.2379,nan,0.4661,nan,0.7143,nan,15.891773,15.244189,14.921362,14.718258,0.056397155
69,3,0.079085,76.12872756807623,-18.69552750239949,0.6831678190009569,17.21,0.9673,17.4222,1.2947,17.6247,1.607,17.8439,1.9452,0.0075,0.0008,0.0045,0.0005,0.0072,0.0007,0.0125,0.0013,18.194613,17.806879,17.686754,17.588842,0.057008445
72,4,0.03368,97.22345319052988,-69.68528612598803,0.5066837467374885,6.7839,2.9271,7.1578,2.876,7.5146,2.8273,7.9008,2.7745,0.068,0.038,0.0433,0.024,0.0455,0.0195,0.0733,0.0296,15.805314,15.323835,15.150673,15.001906,0.08825557
74,2,0.105406,128.6674180043287,15.78626723646112,1.016830246720076,10.829,0.9877,10.7234,1.1213,10.6227,1.2488,10.5136,1.3867,0.0412,0.0066,0.0262,0.004,0.0383,0.0062,0.065,0.0108,16.469776,15.821535,15.423527,15.268827,0.037424065
74,3,0.10596,128.6843710942975,15.79049411645369,0.5437434803326564,1.6238,2.7485,1.6446,3.5411,1.6644,4.2974,1.6859,5.1161,0.0095,0.0595,0.006,0.0407,0.0081,0.0668,0.0136,0.1121,21.311197,20.942606,20.94583,20.895,0.03737228
74,1,0.106065,128.6624563525526,15.76384033243654,0.3714837736816037,7.5859,1.5323,7.4107,1.6236,7.2435,1.7107,7.0625,1.805,0.0179,0.0066,0.0111,0.004,0.0151,0.0055,0.0258,0.0094,21.614038,21.361298,21.280384,21.49243,0.036841176
74,4,0.231664,128.7059611543737,15.79771320620018,1.3448566826192803,21.2967,7.7407,20.9042,7.4248,20.5297,7.1234,20.1243,6.7971,0.1775,0.0342,0.115,0.0217,0.1128,0.0197,0.1755,0.0306,18.656658,18.073141,17.735867,17.557781,0.03672075
75,1,0.029043,129.7108345362294,1.404989034976722,0.7015025307687281,22.6987,1.7745,23.3501,1.8346,23.9716,1.892,24.6444,1.9542,0.0258,0.0022,0.0154,0.0013,0.0326,0.0026,0.0575,0.0046,15.820409,15.535272,15.331732,15.283714,0.05517295
75,3,0.029274,129.718088653798,1.399198747685501,0.3053037180740841,14.9267,4.7179,12.7453,4.196,10.6638,3.6981,8.4107,3.1591,0.0147,0.0042,0.0092,0.0026,0.0083,0.003,0.0131,0.005,15.415034,14.768035,14.481568,14.314399,0.05535798
75,4,0.029043,129.7310932089061,1.412784557146267,-0.5158974692312697,nan,5.9503,0.7743,8.7589,1.3761,nan,2.0275,nan,nan,1.0384,0.0213,0.705,0.0417,nan,0.0685,nan,18.09473,17.605585,17.432274,17.30548,0.055550557
79,2,0.040148,143.0317518534595,15.99813279206816,0.563547412037785,22.1809,0.6324,21.1852,0.7479,20.2351,0.858,19.2066,0.9773,0.0138,0.0013,0.009,0.0008,0.0115,0.0012,0.0188,0.0021,16.530764,16.115381,15.898436,15.826065,0.039178833
79,3,0.040148,143.0456006879086,15.98871735974647,0.49938741203778747,38.6036,1.4903,39.5357,1.7927,40.4251,2.0814,41.3878,2.3938,0.0867,0.0035,0.0708,0.0028,0.1195,0.0047,0.1927,0.0077,16.589882,16.117863,15.876922,15.766761,0.03859613
79,4,0.039894,143.0551904226769,15.98970612539843,-0.02852525224766289,25.5296,1.6369,24.6064,1.8611,23.7256,2.0751,22.7721,2.3067,0.051,0.0036,0.0373,0.0027,0.06,0.0048,0.0986,0.0078,17.03679,16.360434,16.015526,15.793634,0.03822261
79,1,0.040354,143.0164322817605,16.01371716945271,-0.0875272395957154,10.8936,0.4533,11.3167,0.566,11.7203,0.6736,12.1572,0.79,0.019,0.0028,0.0174,0.002,0.0256,0.0035,0.0384,0.0057,18.074522,17.675524,17.55367,17.430355,0.039790135
85,3,0.022012,153.2552584410947,17.03427513335899,0.46533858936050265,41.6149,0.9702,40.1949,1.0876,38.84,1.1995,37.3733,1.3207,0.0127,0.0005,0.0087,0.0004,0.0094,0.0004,0.0143,0.0006,14.122334,13.361465,13.001736,12.768292,0.032711726
85,2,0.022,153.2432671688487,17.03079459778517,0.044904942726679664,35.1355,0.6009,34.715,0.7188,34.3138,0.8312,33.8795,0.9529,0.0241,0.0013,0.0172,0.0008,0.0234,0.0012,0.0374,0.002,16.12133,15.60005,15.346292,15.218401,0.03277961
85,4,0.022102,153.2742230933507,17.04376906687544,-0.26667726976800665,23.6001,0.8746,22.8072,1.0073,22.0506,1.1338,21.2316,1.2708,0.0723,0.0043,0.0446,0.0025,0.061,0.0039,0.1044,0.0068,16.18137,15.634808,15.385349,15.26324,0.0326991
90,1,0.111183,160.0979346994472,24.218117062578,0.8412163575420006,44.7024,2.4279,41.2282,2.6892,37.9133,2.9386,34.3249,3.2085,0.0926,0.0046,0.0597,0.003,0.0632,0.0036,0.1008,0.0059,20.989477,21.05353,21.040897,21.341967,0.022866905
90,3,0.04348,160.105463817595,24.22891625645232,-0.1733213480892175,11.8928,0.4533,11.4146,0.5303,10.9583,0.6038,10.4644,0.6834,0.0423,0.0075,0.0286,0.0043,0.0315,0.005,0.0488,0.0088,17.746649,17.284924,17.129473,16.996399,0.022847438
90,2,0.111183,160.0996401426918,24.23677740509459,0.6611763575419989,6.4231,4.752,8.975,4.8768,11.4099,4.9958,14.0456,5.1246,0.0497,0.0304,0.0564,0.0228,0.0935,0.0233,0.1419,0.032,18.367914,17.949503,17.674057,17.598953,0.022828387
90,4,0.043596,160.1178137831449,24.23412248992252,0.6251128689029493,5.5287,0.6178,5.337,0.7576,5.154,0.891,4.956,1.0355,0.0067,0.0038,0.0045,0.0025,0.0055,0.0032,0.0087,0.0054,15.786215,15.141283,14.806349,14.592696,0.022839496
91,1,0.022068,161.0694624321164,2.787771575071178,-0.1371344683463267,14.5551,2.2223,14.0642,2.5248,13.5959,2.8134,13.0889,3.1258,0.0109,0.0021,0.0063,0.0011,0.0091,0.0018,0.0162,0.0032,15.746013,15.11118,14.814787,14.637103,0.037806675
91,4,0.021862,161.0886590441903,2.793372537284227,-0.07196063898478045,5.8679,8.9483,5.1188,8.2599,4.4041,7.6029,3.6304,6.8918,0.03,0.0492,0.0189,0.0317,0.0156,0.0326,0.0238,0.0517,15.725802,14.946304,14.524871,14.2506,0.037751343
91,3,0.101,161.0837845321902,2.805499092512202,1.1245423286475518,10.0695,0.9339,9.5703,1.2187,9.094,1.4905,8.5784,1.7847,0.0096,0.0019,0.0068,0.0015,0.0104,0.0025,0.0169,0.0042,16.964914,16.555971,16.282274,16.12953,0.037757788
93,3,0.036855,161.8018864878908,-2.332915819015037,0.5018124121537948,nan,2.7837,nan,1.8864,nan,1.0302,nan,0.1033,nan,0.5594,nan,0.7509,nan,1.5299,nan,2.4406,16.149565,15.680681,15.449903,15.354948,0.0427374
93,2,0.0715,161.7988142070167,-2.311209411369505,0.6970316646844257,17.002,0.6564,17.0367,0.8144,17.0698,0.9651,17.1057,1.1283,0.012,0.0012,0.0104,0.0008,0.0158,0.0014,0.0245,0.0024,16.905487,16.394823,16.142326,16.016113,0.043063596
96,4,0.028677,165.3026356518377,16.72426358807883,0.5377270137353758,39.5345,0.9795,37.9,1.0567,36.3405,1.1304,34.6523,1.2102,0.0429,0.0015,0.0294,0.001,0.0314,0.0011,0.0478,0.0018,15.166783,14.552238,14.258355,14.083277,0.019108232
96,2,0.028677,165.2834657745998,16.73486998596282,-0.5065529862646247,27.0581,1.2497,26.3927,1.1849,25.7579,1.123,25.0706,1.0561,0.3131,0.0153,0.2032,0.0094,0.2779,0.0138,0.464,0.0238,18.39362,18.056967,17.917046,17.858866,0.019123863
96,3,0.028677,165.2900877920556,16.75221064756445,-0.614272986264627,3.8529,1.5363,4.703,1.4557,5.5142,1.3788,6.3922,1.2955,0.0103,0.0055,0.0064,0.0034,0.0089,0.0039,0.0151,0.0066,18.722235,18.31777,18.047005,17.991322,0.019011
97,3,0.109589,167.5261035286813,-1.021252338016023,0.7246735091043224,4.9786,1.4321,4.8736,1.406,4.7734,1.381,4.665,1.354,0.0106,0.008,0.0071,0.0049,0.0079,0.005,0.0125,0.0085,18.434025,18.088062,17.592411,17.598097,0.036855802
97,1,0.1085,167.5127542218795,-1.005626684312333,0.595639057451363,7.0635,1.4255,6.688,1.6471,6.3298,1.8585,5.942,2.0873,0.0155,0.0064,0.0098,0.0037,0.0108,0.0044,0.0176,0.0078,17.825687,17.092108,16.68128,16.46121,0.03710507
97,4,0.109589,167.5390798010606,-1.013468111430023,0.7601535091043221,10.9604,1.1703,10.7793,1.5688,10.6064,1.949,10.4193,2.3606,0.0175,0.0035,0.0107,0.0022,0.0169,0.0037,0.0293,0.0063,17.390486,16.722864,16.353657,16.165297,0.037153237
97,2,0.109852,167.5168502117463,-1.004677110111772,0.9238355175426527,3.5769,1.0193,3.2702,1.2238,2.9776,1.4189,2.6608,1.6302,0.0074,0.0109,0.0054,0.0052,0.0055,0.0074,0.0077,0.0145,20.895243,20.637318,20.69118,20.858833,0.037206035
98,4,0.033857,168.0198611603887,29.40156252050033,-0.19876347186610488,15.9862,0.6852,15.5081,0.7367,15.052,0.7858,14.5582,0.839,0.0186,0.0019,0.0122,0.0012,0.0148,0.0016,0.0241,0.0027,18.091887,17.73152,17.606184,17.524244,0.02899991
98,1,0.033857,167.9824744936344,29.43309680026038,-0.270403471866107,9.9553,1.1846,10.0064,1.5317,10.055,1.8628,10.1077,2.2213,0.0344,0.0081,0.0301,0.0072,0.0503,0.012,0.0799,0.019,18.388521,18.105814,17.862917,17.847849,0.029222382
98,3,0.048454,168.002160282404,29.40591666699664,-0.03508114897300274,20.9131,1.1003,19.8567,1.2097,18.8488,1.314,17.7577,1.427,0.0208,0.0016,0.0126,0.0009,0.017,0.0013,0.0292,0.0024,17.573761,16.866966,16.55725,16.355448,0.028941227
98,2,0.028823,167.9983969039964,29.42771908085983,0.09037794456138215,13.9057,1.0691,13.7937,1.0607,13.6868,1.0527,13.5711,1.044,0.0317,0.0042,0.0218,0.0024,0.033,0.0038,0.0546,0.0067,16.50601,15.972619,15.709826,15.570295,0.029173618
101,1,0.06271,169.9182950321516,-6.517915002121144,0.4172131826329668,44.057,1.3508,42.4314,1.4026,40.8804,1.4521,39.2014,1.5057,0.212,0.0068,0.1479,0.0047,0.231,0.0079,0.3824,0.0133,17.82643,17.40734,17.089596,17.004831,0.04648475
101,2,0.06271,169.9192724902598,-6.499577417439074,0.6352531826329688,13.1701,0.4926,13.144,0.5618,13.119,0.6278,13.092,0.6992,0.0066,0.001,0.0047,0.0006,0.0062,0.0009,0.0097,0.0015,17.22172,16.686792,16.42431,16.285166,0.04717409
101,3,0.06271,169.9204890712538,-6.494103278591494,0.6470931826329647,12.6796,0.4983,12.498,0.6132,12.3247,0.7227,12.1371,0.8413,0.0112,0.0018,0.0082,0.0011,0.0111,0.0017,0.0175,0.003,16.719824,16.059267,15.73544,15.531442,0.047331728
101,4,0.06271,169.9230100629089,-6.524597047655746,0.5770531826329695,19.6847,1.6022,18.6867,1.8275,17.7344,2.0424,16.7036,2.2751,0.0193,0.0021,0.0133,0.0013,0.0165,0.0018,0.0262,0.0031,17.966656,17.52036,17.337097,17.236992,0.04634477
104,4,0.062177,171.9805246572288,-0.4725503499350716,0.14739910865239558,2.2174,1.6398,2.2595,1.7597,2.2997,1.8742,2.3432,1.998,0.0093,0.0283,0.0068,0.0192,0.0095,0.03,0.015,0.0502,17.779879,17.214668,16.984272,16.825178,0.031901795
104,2,0.062384,171.9601366068491,-0.4511256666447173,0.2945260167700887,0.6495,0.8107,2.5443,0.5725,4.3523,0.3453,6.3094,0.0993,0.0084,0.0229,0.0055,0.0142,0.0071,0.007,0.0117,0.0074,18.636217,18.302359,18.239895,18.148764,0.031746883
105,3,0.06886,172.9441519508484,15.38917229504831,0.5691136178195748,18.8629,0.9308,18.2403,1.0497,17.6463,1.1631,17.0033,1.2859,0.0217,0.0019,0.0066,0.0006,0.0173,0.0016,0.0361,0.0033,17.072231,16.436085,16.133318,15.94918,0.03508884
105,4,0.06899,172.9538411941126,15.40681461877469,0.305671870975452,11.6227,1.8257,10.527,1.6537,9.4816,1.4896,8.35,1.312,0.0118,0.003,0.0047,0.0011,0.0079,0.002,0.0166,0.0044,17.268894,16.538145,16.23928,15.973949,0.03497649
105,1,0.068909,172.9370271128429,15.40902920537789,0.48557147613343865,7.1227,1.0428,6.7126,1.1345,6.3212,1.2219,5.8976,1.3166,0.0047,0.0021,0.0015,0.0006,0.0032,0.0015,0.007,0.0033,22.462614,20.745237,20.191837,19.850325,0.035174485
105,2,0.06886,172.9413327306714,15.41778817790734,0.75347361781958,16.1241,2.3707,15.541,2.3014,14.9847,2.2353,14.3825,2.1638,0.05,0.0072,0.015,0.0022,0.0391,0.0056,0.0823,0.0118,16.98462,16.547512,16.376938,16.236387,0.035166357
107,1,0.063601,174.1514731471739,21.6788836727322,1.0324274693309121,13.5894,0.5617,13.3773,0.9139,13.1749,1.2501,12.9558,1.6139,0.0116,0.0014,0.0108,0.0012,0.0172,0.0022,0.0267,0.0036,16.408628,15.824814,15.554688,15.354145,0.025957033
107,2,0.06264,174.1568297133209,21.69064871524099,0.7062030791820426,53.0218,2.0532,56.6014,2.6956,60.0168,3.3085,63.7139,3.9721,0.2135,0.0073,0.1685,0.0055,0.2899,0.0091,0.473,0.0149,20.664785,20.642427,20.830008,21.455462,0.026176821
107,3,0.063183,174.1685202200961,21.69989212707423,0.3184200667819095,13.5211,0.9997,13.6766,1.1558,13.8249,1.3048,13.9855,1.4661,0.0672,0.0082,0.044,0.0051,0.0683,0.0078,0.1156,0.0135,22.156658,21.879541,22.013723,21.833635,0.026133697
107,4,0.025207,174.1896907042591,21.710033858281,0.2361819038533497,14.9802,1.1485,14.7336,1.3215,14.4983,1.4866,14.2436,1.6653,0.0334,0.0044,0.0242,0.0031,0.0378,0.0049,0.0619,0.008,15.517506,14.874691,14.553843,14.352524,0.026091238
108,1,0.118659,174.24678039408,12.44827886776981,1.000700949073135,3.6548,1.9601,3.7159,1.9483,3.7743,1.9371,3.8374,1.925,0.0038,0.0072,0.0028,0.004,0.0037,0.0052,0.0059,0.0095,17.37456,16.822659,16.517056,16.379114,0.029079406
108,2,0.118659,174.2546993891416,12.45710497774324,0.805020949073139,16.043,0.6712,15.1122,0.8686,14.224,1.057,13.2626,1.2609,0.018,0.0023,0.0119,0.0014,0.0145,0.0021,0.0234,0.0036,17.867785,17.15762,16.755955,16.536867,0.029116442
108,4,0.118659,174.2654179415284,12.45811032280742,0.8553009490731398,8.1122,0.6621,7.85,0.8389,7.5997,1.0075,7.3288,1.19,0.0157,0.004,0.014,0.0033,0.0215,0.0062,0.0332,0.0102,18.59551,18.36406,18.115534,18.153278,0.028953504
108,3,0.117315,174.2605911844514,12.45932558946077,1.1082066709696132,9.7677,1.7087,9.3286,2.0371,8.9098,2.3504,8.4563,2.6896,0.0186,0.0048,0.0118,0.0032,0.0173,0.0053,0.0294,0.009,17.644472,17.35494,17.009775,17.028292,0.029027741
112,2,0.032261,179.0601589568412,25.35415458397431,-0.13966476858674604,21.7753,0.5907,21.4169,0.7773,21.0749,0.9554,20.7047,1.1481,0.0158,0.0017,0.011,0.0009,0.0178,0.0016,0.0298,0.003,17.231037,16.78926,16.566483,16.484297,0.017294025
112,1,0.032261,179.0536781221025,25.37739731079984,-0.7284247685867467,nan,3.0613,nan,2.3969,nan,1.763,nan,1.0769,nan,0.5335,nan,0.3972,nan,0.6473,nan,1.0596,20.078197,20.21392,20.052935,20.249739,0.017653314
113,1,0.08939,179.1824473723358,22.49848049142986,0.602157455637613,6.3863,1.3651,6.0929,1.3935,5.8129,1.4207,5.5099,1.45,0.012,0.0068,0.0076,0.0043,0.0093,0.0055,0.0155,0.0093,17.746485,17.367786,17.152142,17.093884,0.028308049
113,2,0.08939,179.184889270458,22.50433755604412,0.3171174556376144,9.6849,0.5476,9.9015,0.6252,10.1081,0.6993,10.3318,0.7795,0.0154,0.0042,0.0139,0.0032,0.0236,0.0055,0.0373,0.0092,21.891356,21.727165,21.549973,21.728453,0.028349716
113,4,0.08939,179.1949307790319,22.4979081304064,0.423077455637614,10.9688,2.1127,11.5758,2.3493,12.1549,2.5749,12.7818,2.8192,0.0392,0.0094,0.0311,0.0069,0.0533,0.0108,0.0869,0.0177,18.331064,17.846533,17.633516,17.503231,0.028462518
117,4,0.075773,184.4438776336825,20.75444358665416,0.43528854538324957,9.8838,1.5902,9.7642,1.904,9.65,2.2034,9.5264,2.5275,0.0118,0.0032,0.0075,0.002,0.0096,0.0026,0.0161,0.0045,16.793196,15.983173,15.636441,15.389783,0.02634996
117,1,0.075773,184.4295267561779,20.74184531738134,0.10472854538325116,9.2829,0.8007,9.0822,0.9283,8.8907,1.05,8.6835,1.1818,0.0161,0.0035,0.0107,0.0023,0.0136,0.0031,0.0223,0.0053,18.515207,17.828012,17.283485,17.125347,0.02651297
117,2,0.123136,184.4356191549969,20.74147848383586,0.8728296644536311,6.5754,1.1988,5.987,1.3271,5.4256,1.4496,4.8179,1.5821,0.0187,0.0087,0.0121,0.0059,0.0108,0.0067,0.0163,0.0105,17.896608,17.280693,16.93564,16.77353,0.026541576
117,3,0.121928,184.4396815873358,20.7374576257228,1.4467464812300115,7.075,0.5066,6.9548,0.4794,6.84,0.4534,6.7159,0.4253,0.007,0.003,0.0045,0.0019,0.0055,0.0024,0.0091,0.0039,17.936834,17.724228,17.342638,17.433516,0.02662453
121,2,0.073425,188.4074270292317,19.86575371114036,0.5426274914719453,11.6696,1.066,11.1662,1.1858,10.6858,1.3001,10.1659,1.4238,0.0198,0.0032,0.0142,0.0023,0.0212,0.0038,0.0346,0.0063,16.792852,16.050482,15.699966,15.473612,0.030106163
121,3,0.073886,188.4132149069272,19.87870153643733,0.4104238922766683,13.0714,0.9046,12.7431,1.07,12.4299,1.2278,12.0909,1.3986,0.0082,0.0013,0.0052,0.0008,0.0069,0.0012,0.0115,0.002,17.88615,17.442114,17.218866,17.135918,0.030346503
121,4,0.073587,188.4351670354473,19.86523569221862,0.1443017769600896,9.2058,0.9538,8.8325,1.0963,8.4763,1.2321,8.0908,1.3792,0.0416,0.0079,0.0277,0.0053,0.0414,0.009,0.0692,0.0154,18.909395,18.357433,18.108734,18.00852,0.029622452
122,2,0.068894,190.3133046107841,18.30414904898066,0.09802238250690465,9.8886,0.8716,10.0707,0.9229,10.2444,0.9719,10.4325,1.0249,0.0653,0.0099,0.0525,0.0073,0.0904,0.0134,0.1469,0.0224,19.019547,18.754763,18.6858,18.653212,0.020603081
122,3,0.077262,190.3347780883998,18.30641529825251,0.4461114732383553,17.3385,1.3324,17.2298,1.6685,17.126,1.9892,17.0138,2.3364,0.0374,0.0042,0.0212,0.0024,0.0356,0.0042,0.0636,0.0075,17.544397,16.784338,16.429535,16.199842,0.02138917
122,4,0.070976,190.3524647842002,18.31344056490991,0.573722621348363,15.8104,0.7054,15.6319,1.0054,15.4616,1.2917,15.2772,1.6016,0.0108,0.0012,0.0072,0.0007,0.0113,0.0013,0.0191,0.0023,19.158901,18.918674,18.946707,19.024101,0.021681333
126,3,0.069217,195.7339956565311,5.512122711978418,0.6463251254717584,18.4237,0.699,17.8563,0.8229,17.3149,0.9411,16.7289,1.069,0.0123,0.0014,0.0082,0.0009,0.0096,0.0011,0.0153,0.0018,17.731152,17.243258,17.07694,16.947523,0.037505332
126,2,0.070755,195.7320321707602,5.540629306647933,0.765933851685034,25.1139,1.3277,28.1759,2.1935,31.0975,3.0196,34.2602,3.9138,0.035,0.0025,0.0399,0.0027,0.0727,0.0047,0.114,0.0074,16.269875,15.577746,15.237953,15.020239,0.038204264
129,3,0.060895,197.1935285196431,28.88018549061634,0.6835428506975987,34.3647,1.2158,34.5138,1.3998,34.656,1.5753,34.81,1.7653,0.052,0.0023,0.0382,0.0017,0.0615,0.0028,0.1008,0.0046,16.479042,16.027832,15.783666,15.6689,0.0096646845
129,1,0.0612,197.1819850283685,28.89099568474175,0.3848824253733891,1.0166,nan,16.9982,nan,32.2469,nan,48.7535,8.7674,0.085,nan,5.5735,nan,10.9024,nan,16.6711,1.6578,17.684513,17.27914,17.127626,17.018711,0.009887253
132,1,0.060622,198.2608024976516,12.6977041752871,0.6860401015174862,16.9444,0.7361,18.8195,1.5344,20.6087,2.2961,22.5455,3.1206,0.0314,0.003,0.0368,0.0034,0.065,0.0061,0.1004,0.0094,16.21923,15.534484,15.199342,14.985512,0.023700604
132,4,0.030082,198.2811769270057,12.68375142899898,-0.21524700507259986,14.6546,0.924,14.3465,1.0974,14.0525,1.2629,13.7342,1.4421,0.0224,0.0025,0.0202,0.0023,0.0318,0.0041,0.0493,0.0065,17.71384,17.376455,17.177855,17.139519,0.023674829
132,2,0.029737,198.2685821305454,12.71326428388539,0.44133388678003804,37.7527,0.8871,38.1159,0.9996,38.4623,1.1069,38.8374,1.2231,0.0498,0.0016,0.0451,0.0014,0.0734,0.0023,0.1148,0.0037,18.118511,17.684757,17.50604,17.387917,0.023628449
133,3,0.023963,198.4552197069566,6.962585863325409,0.08926195658746039,40.9209,0.6517,40.6866,0.8362,40.463,1.0123,40.221,1.2029,0.0281,0.0009,0.0254,0.0008,0.0384,0.0013,0.0585,0.0021,15.774125,15.246977,14.969379,14.812118,0.032240037
133,2,0.023963,198.4402283438341,6.977091864346733,-0.9087780434125392,21.46,0.879,20.3277,0.8869,19.2474,0.8944,18.0779,0.9025,0.1361,0.0093,0.0945,0.006,0.1252,0.0091,0.2013,0.0155,20.170834,20.030682,20.137318,20.238941,0.03219276
133,1,0.021535,198.4354238371457,6.992117184782036,0.1451493332795053,42.4915,1.2375,41.8262,1.3768,41.1914,1.5096,40.5042,1.6535,0.0174,0.0008,0.0117,0.0006,0.0143,0.0007,0.023,0.0011,14.622804,13.876822,13.45416,13.179177,0.0320234
134,1,0.072823,198.5664910171698,17.23412448667367,0.8351167132116188,12.2298,1.0345,12.1659,1.4005,12.1049,1.7496,12.0389,2.1276,0.0064,0.0011,0.0042,0.0007,0.0049,0.0008,0.0078,0.0013,16.889591,16.446901,16.276125,16.139883,0.021430343
134,3,0.072724,198.5766331723389,17.20442568463601,0.5828150973668595,18.1538,0.8705,18.4465,0.9342,18.7258,0.995,19.0281,1.0609,0.0401,0.0041,0.0281,0.0026,0.0396,0.0036,0.0642,0.0061,16.42467,15.646827,15.32292,15.051479,0.021611936
