Group,Gal,zmemb,ra,dec,logSFR_NUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,mag_g,mag_r,mag_i,mag_z,ebv
134,4,0.072823,198.577428067335,17.2472186772797,0.2589567132116173,13.8495,0.9874,13.6065,1.1842,13.3746,1.3721,13.1236,1.5754,0.0119,0.0016,0.0076,0.0011,0.01,0.0014,0.0167,0.0023,18.595133,18.341011,18.23343,18.164583,0.021509185
134,2,0.072823,198.5742331190466,17.21775436042278,0.4812767132116136,4.9348,1.687,4.8982,1.679,4.8633,1.6714,4.8255,1.6631,0.0141,0.0121,0.0094,0.0077,0.0109,0.008,0.0175,0.0129,18.18719,17.95587,17.879416,17.816612,0.021509081
139,3,0.081738,202.4912720525582,9.410954546484907,0.8966275950908162,6.3483,1.9247,6.0114,2.1708,5.6899,2.4056,5.3419,2.6598,0.0274,0.0252,0.0224,0.0174,0.022,0.0195,0.0265,0.0299,16.539019,15.906358,15.620096,15.453152,0.024700135
139,2,0.081738,202.4890338010542,9.430217658322215,0.6054275950908128,11.3748,2.8976,11.3709,2.8952,11.3672,2.8929,11.3632,2.8905,0.0421,0.0105,0.0283,0.0068,0.028,0.0062,0.0419,0.0094,22.075336,21.935247,22.270376,22.709051,0.024767138
140,1,0.144162,203.3178121602868,11.07620638592481,0.9229211786149882,19.9436,1.9611,19.9366,1.7966,19.9299,1.6395,19.9227,1.4695,0.1464,0.0134,0.0914,0.0078,0.1335,0.011,0.2285,0.0194,22.035824,22.155588,23.048388,23.155529,0.032465667
140,4,0.144162,203.3395211011225,11.1023216587484,1.0579211786149898,6.8837,2.2595,6.6783,2.4061,6.4824,2.5459,6.2704,2.6973,0.026,0.0133,0.0183,0.0094,0.029,0.0155,0.048,0.0259,18.3192,18.00652,17.787245,17.812914,0.0330969
140,2,0.090623,203.3246429798482,11.08851325656476,0.812336451168953,18.2003,0.5323,18.3064,0.7222,18.4077,0.9033,18.5173,1.0994,0.024,0.0018,0.0178,0.0011,0.0255,0.0018,0.0407,0.0031,22.168715,21.919626,21.552042,21.603823,0.032768723
140,3,0.025391,203.3288817755592,11.11713539728828,0.14469919204039527,35.7859,7.1749,30.8509,6.9005,26.1421,6.6387,21.0449,6.3553,0.1096,0.0117,0.0661,0.0078,0.0494,0.0076,0.0791,0.0116,15.880085,15.185579,14.86062,14.655614,0.03348682
143,4,0.022968,204.8841890871623,4.507998329909306,-0.8784140599408339,26.4918,0.8464,25.6886,0.8735,24.9221,0.8993,24.0924,0.9272,0.0085,0.0006,0.0054,0.0004,0.0071,0.0005,0.0119,0.0009,18.592829,18.374266,18.304949,18.222769,0.030774005
143,2,0.022968,204.8738495829156,4.511382287086172,-0.5911340599408312,14.1119,3.0987,15.1139,3.1823,16.0699,3.262,17.1048,3.3484,0.0421,0.0088,0.0267,0.0054,0.0417,0.0063,0.0713,0.0107,17.203037,16.647758,16.386448,16.24878,0.03103321
143,1,0.023086,204.8640211671729,4.510612238136396,0.3334369637277792,7.0761,0.8908,7.1164,0.8758,7.1549,0.8614,7.1965,0.8459,0.0171,0.0058,0.0135,0.0035,0.0204,0.0053,0.0323,0.0092,15.61388,15.115775,14.849938,14.706629,0.031193567
143,3,0.022968,204.8797294793813,4.513227684715813,-0.5971740599408335,5.9185,1.1886,6.1228,1.1951,6.3177,1.2014,6.5288,1.2082,0.0117,0.0054,0.0089,0.0036,0.0139,0.0048,0.0223,0.0078,18.164558,17.862276,17.774103,17.672684,0.030977024
148,1,0.083352,208.8225504975571,6.562008871012385,0.3819316311270029,23.6686,1.2418,21.6783,1.3342,19.7793,1.4223,17.7236,1.5177,0.0392,0.0025,0.0255,0.0015,0.0266,0.0019,0.0419,0.0033,17.045952,16.19716,15.805425,15.549491,0.024969792
148,2,0.084285,208.8376413738763,6.556430103409631,0.9451201633834305,7.4723,1.9387,7.2773,2.0309,7.0912,2.1189,6.8898,2.2141,0.0203,0.008,0.0131,0.0047,0.0151,0.0056,0.0246,0.0098,17.026424,16.325459,16.001835,15.781418,0.025018973
148,3,0.083352,208.8462058638437,6.548350787055839,0.2783316311270063,11.7442,1.6764,11.597,2.0047,11.4566,2.318,11.3045,2.6571,0.016,0.0034,0.0101,0.002,0.0124,0.0026,0.0208,0.0046,18.556004,18.031704,17.788649,17.631733,0.024912817
148,4,0.083417,208.8599605956549,6.56629489961704,0.38552871482369255,11.8172,1.0565,11.0061,1.2857,10.2321,1.5044,9.3943,1.7412,0.0339,0.0061,0.0211,0.0041,0.0297,0.0069,0.0507,0.0117,20.716553,20.420158,20.404648,20.362146,0.025183493
149,2,0.067956,210.4450919949291,-3.174171328079091,0.44807519643057425,12.2701,0.5354,11.7738,0.6923,11.3001,0.842,10.7874,1.0041,0.0186,0.0024,0.0135,0.0016,0.0186,0.0026,0.0296,0.0045,18.417887,17.76629,17.45263,17.264313,0.06288157
149,1,0.067956,210.4362564194164,-3.156001730929726,0.45007519643057314,16.2183,0.8112,15.9435,0.8915,15.6813,0.968,15.3975,1.0509,0.0371,0.0038,0.0277,0.0024,0.0425,0.0042,0.0687,0.0071,17.095783,16.250368,15.79291,15.499057,0.06364775
149,4,0.067788,210.466954744732,-3.205265815364832,0.13924522265017103,27.7953,0.7855,25.5089,0.9659,23.3273,1.138,20.9657,1.3243,0.0214,0.0014,0.0143,0.0009,0.0145,0.0011,0.022,0.0017,17.929436,17.284933,16.987572,16.773167,0.06122826
154,3,0.037372,212.8613899081116,-29.67362339446398,0.39247226143349145,20.1399,1.6663,20.8407,2.2016,21.5093,2.7123,22.233,3.2652,0.0735,0.0063,0.0316,0.0025,0.0538,0.0041,0.108,0.0086,16.3947,15.341924,14.899883,14.596462,0.05995871
154,4,0.037372,212.8613665823259,-29.63580712305456,0.5208722614334906,6.5798,0.6195,6.6801,0.6424,6.7758,0.6642,6.8795,0.6879,0.0211,0.0068,0.0095,0.0024,0.0167,0.0045,0.0325,0.0097,15.99278,15.384839,15.130793,14.94426,0.05835739
159,2,0.055027,219.221051338999,12.13901051400059,0.08405125366221178,16.9631,1.5653,17.0516,1.6248,17.1361,1.6816,17.2276,1.743,0.0442,0.005,0.0262,0.0028,0.0374,0.0038,0.0654,0.0069,17.093157,16.431631,16.152918,15.947738,0.027816731
159,4,0.188742,219.2652855248565,12.17632928967613,1.190676686537845,25.8339,0.8907,25.8049,1.2764,25.7772,1.6445,25.7472,2.0429,0.0188,0.0013,0.0134,0.0009,0.0206,0.0015,0.0338,0.0025,18.521347,17.962292,17.397196,17.526571,0.025694022
159,1,0.054808,219.2209261720926,12.16126139104753,0.2507874901049245,1.1865,nan,1.9294,nan,2.6382,nan,3.4055,nan,0.0254,nan,0.029,nan,0.0563,nan,0.0896,nan,15.96716,15.123908,14.740548,14.490203,0.026866361
160,1,0.030605,219.6912603223076,9.04091980277455,-0.635635651247318,6.3725,1.9063,6.0887,1.8237,5.8179,1.7448,5.5247,1.6594,0.0078,0.0042,0.0053,0.0026,0.0055,0.0025,0.0083,0.0041,18.097357,17.592098,17.45254,17.299784,0.036624976
160,2,0.030605,219.6972295133376,9.03095727003908,-0.16623565124731776,5.8455,4.0641,6.6603,3.9393,7.4377,3.8201,8.2793,3.6912,0.0386,0.0308,0.0303,0.0202,0.0499,0.0223,0.0808,0.0355,21.012802,21.03594,20.99141,21.110207,0.036746163
160,3,0.030822,219.7153122101575,9.046957064626492,-0.03381878670177052,5.5472,nan,3.7181,nan,1.9728,nan,nan,9.006,0.026,nan,0.0173,nan,0.0092,nan,nan,0.2409,17.088682,16.476282,16.225378,16.022038,0.036673956
160,4,0.086179,219.7307285148444,9.055148947980484,0.9740224817519323,10.9904,0.8044,10.9386,0.8917,10.8892,0.9749,10.8357,1.065,0.0097,0.0018,0.0075,0.001,0.0112,0.0017,0.0178,0.003,17.111969,16.736044,16.541983,16.48527,0.036391232
164,1,0.07397,226.257393613647,8.709469189893905,0.9896508184860853,14.6275,1.3321,14.487,1.4363,14.353,1.5358,14.2079,1.6434,0.0111,0.0015,0.0072,0.001,0.0095,0.0013,0.0157,0.0021,16.4735,15.923661,15.647909,15.49277,0.033906676
164,2,0.07397,226.2709126721782,8.731861193811778,0.03465081848608342,16.1659,1.692,14.7061,2.4875,13.3132,3.2466,11.8054,4.0682,0.0733,0.0142,0.0485,0.0111,0.0598,0.0192,0.0972,0.0315,18.570137,17.730894,17.304293,17.044052,0.03479361
164,4,0.07397,226.2860016960066,8.741545801688666,0.4218908184860819,7.1944,1.285,6.9613,1.4255,6.7388,1.5595,6.498,1.7046,0.009,0.0039,0.0061,0.0027,0.007,0.0035,0.011,0.0055,18.60021,18.303843,18.139368,18.110767,0.034757935
164,3,0.073949,226.2740593596376,8.71686874945827,0.23512419204373636,8.3617,0.3971,8.3642,0.4699,8.3665,0.5392,8.3691,0.6144,0.0138,0.0039,0.0113,0.0026,0.0153,0.0042,0.023,0.0071,17.771358,17.135292,16.852222,16.654743,0.034626346
171,4,0.112916,230.961707942046,2.665967989545834,0.8895305511922054,11.1392,6.8773,9.6354,6.3003,8.2006,5.7497,6.6474,5.1537,0.1639,0.0782,0.0949,0.0472,0.0612,0.0392,0.1051,0.0642,17.693521,17.228668,16.91322,16.821127,0.04453261
171,3,0.112833,230.9601570421855,2.672556271922697,0.4873318516874914,13.4541,2.1125,13.8775,1.9715,14.2815,1.837,14.7188,1.6914,0.0185,0.0033,0.0118,0.0021,0.0171,0.0024,0.0289,0.0039,18.094543,17.395912,16.984556,16.775078,0.044658124
171,1,0.052511,230.9219656491059,2.666691082692337,0.6764401588998279,34.382,1.2023,31.7543,1.4562,29.2472,1.6983,26.5332,1.9605,0.0236,0.0012,0.0149,0.0008,0.0196,0.0013,0.0329,0.0022,15.984221,15.194422,14.777854,14.50644,0.04530542
171,2,0.020865,230.9415084439488,2.67026416322864,-0.05782364082227964,6.6138,2.1561,7.0061,2.3761,7.3804,2.586,7.7856,2.8133,0.0167,0.0084,0.0155,0.0066,0.0272,0.0107,0.0433,0.0171,16.3694,15.924536,15.68632,15.580132,0.045394827
185,1,0.030818,312.4597627874764,-48.90955213886949,0.25562848273820116,9.9522,0.5376,9.7578,0.6956,9.5724,0.8463,9.3716,1.0095,0.0084,0.0021,0.0059,0.0011,0.0096,0.0021,0.0158,0.0039,16.869287,16.546257,16.434608,16.33262,0.03783985
185,2,0.030818,312.4743758264021,-48.89632833344687,-0.1511315172618044,8.3385,1.502,8.8669,1.8135,9.3711,2.1107,9.9168,2.4324,0.0293,0.0082,0.0272,0.0068,0.0508,0.0122,0.082,0.0198,17.82498,17.27871,16.909124,16.776316,0.038336523
185,3,0.030818,312.5027975457372,-48.91636992468332,0.20334848273819794,16.3301,0.908,16.7771,0.995,17.2036,1.078,17.6653,1.1678,0.0114,0.0014,0.0094,0.0008,0.0165,0.0015,0.0267,0.0026,16.29375,15.75779,15.492482,15.349828,0.03814484
185,4,0.030818,312.5096419987884,-48.89807021969206,-0.5043315172618019,32.1126,0.5236,31.4373,0.6267,30.793,0.7251,30.0955,0.8316,0.0106,0.0007,0.0076,0.0004,0.0121,0.0007,0.02,0.0013,18.210417,17.799696,17.560822,17.479977,0.038612045
186,1,0.094365,314.472846415685,-24.96240135644899,0.748241469563645,25.6648,2.7396,0.0,0.0,18.8805,3.3985,15.2947,3.7467,0.2215,0.0188,0.0,0.0,0.1178,0.0157,0.1873,0.0238,17.656069,,16.523489,16.266678,0.062246647
186,3,0.094365,314.4895706185349,-24.94810710824377,0.5287214695636422,5.4471,0.9389,0.0,0.0,5.7368,0.9464,5.8899,0.9503,0.0097,0.0066,0.0,0.0,0.0074,0.0035,0.0112,0.0059,17.670563,,16.52233,16.363525,0.06218225
186,4,0.094365,314.4941688273316,-24.96287790106267,0.7296414695636386,nan,6.8073,0.0,0.0,1.1671,nan,1.7585,nan,nan,4.3741,0.0,0.0,0.0972,nan,0.1522,nan,17.85424,,17.002031,16.897139,0.06236795
188,2,0.055752,314.8554311159941,-60.65726601337487,0.6190204841059508,12.6667,1.4227,13.2796,1.554,13.8643,1.6794,14.4973,1.815,0.0225,0.0035,0.0153,0.0022,0.0265,0.0034,0.0448,0.0058,16.647337,16.075956,15.882255,15.707335,0.04102526
188,3,0.055752,314.8658029127148,-60.67951356115095,0.7673404841059526,26.0321,4.1715,26.9401,5.0788,27.8064,5.9445,28.7443,6.8817,0.0875,0.0104,0.0476,0.0057,0.0807,0.0092,0.1465,0.0167,16.467865,15.955711,15.784091,15.630795,0.040596966
188,1,0.055752,314.848228737484,-60.66764493567462,0.7755804841059533,nan,0.8745,nan,1.6494,nan,2.3888,nan,3.1892,nan,0.1291,nan,0.1322,nan,0.1569,nan,0.1984,15.004222,14.187501,13.844487,13.588564,0.04092898
189,3,0.029797,319.3556826032616,-35.91792837255518,-0.018155337008947114,25.9244,1.9534,27.7094,2.3266,29.4125,2.6827,0.0,0.0,0.0198,0.0016,0.0195,0.0014,0.0378,0.0028,0.0,0.0,17.309502,,16.92769,,0.06756172
189,2,0.029797,319.3494413525481,-35.92204608091316,-0.12103533700894609,11.1068,1.0678,12.2061,1.1353,13.255,1.1998,0.0,0.0,0.019,0.0038,0.0195,0.0031,0.0285,0.0047,0.0,0.0,17.44013,,17.017612,,0.06756886
189,4,0.029797,319.3614926524389,-35.92601140014751,0.05700466299105322,10.4372,1.3087,12.405,1.4661,14.2826,1.6164,0.0,0.0,0.0186,0.0035,0.0233,0.0032,0.0386,0.0049,0.0,0.0,17.007149,15.555893,16.710346,,0.0671943
190,3,0.073594,319.5107844473522,-50.76681690602447,0.9111843979879559,26.2784,0.759,27.6169,1.0137,28.8941,1.2567,30.2765,1.5198,0.0423,0.0021,0.0495,0.0023,0.0866,0.004,0.1336,0.0062,16.467909,16.044891,15.840464,15.790747,0.025448253
190,2,0.073594,319.5052541550052,-50.73937955580364,0.4825843979879565,10.3951,0.9253,10.2129,1.165,10.0391,1.3938,9.8509,1.6414,0.0204,0.0035,0.0182,0.0031,0.0294,0.0054,0.046,0.0086,17.680338,17.159998,16.854946,16.746618,0.02645118
194,1,0.067693,330.1682493429522,-42.81854129533422,0.3515871040197265,15.8099,0.9135,14.858,0.8448,13.9497,0.7793,12.9665,0.7083,0.0851,0.0089,0.0487,0.0041,0.0693,0.007,0.1234,0.0135,17.18173,16.603062,16.333508,16.185678,0.013056566
194,4,0.067693,330.211453243805,-42.8283383241871,0.5647471040197249,17.1391,0.73,16.8254,0.8305,16.5261,0.9264,16.2021,1.0302,0.0106,0.0014,0.0058,0.0007,0.0091,0.0012,0.0165,0.0022,16.89755,16.29442,16.0295,15.887319,0.012926363
194,3,0.067693,330.1994831215273,-42.81518002453856,0.022347104019727837,9.3017,1.0781,8.6474,1.665,8.0231,2.225,7.3473,2.8312,0.0048,0.0014,0.0025,0.0008,0.004,0.0016,0.0074,0.0028,19.854147,19.351992,19.169195,19.047718,0.01297442
194,2,0.067693,330.1806055696276,-42.82142188853504,0.3960271040197245,20.0364,0.5641,19.64,0.6829,19.2619,0.7963,18.8525,0.9191,0.0107,0.0009,0.0067,0.0004,0.0105,0.0008,0.018,0.0016,16.523632,15.761133,15.434895,15.157302,0.013006653
195,4,0.07177,330.6448439367783,-22.90050394610396,0.3499854735468979,11.7316,0.4372,11.7757,0.5385,11.8177,0.6351,11.8633,0.7397,0.0085,0.0012,0.007,0.0008,0.0122,0.0017,0.0197,0.0029,17.851883,17.31471,17.09954,16.94236,0.026839491
196,2,0.0342,332.1291946514334,-57.30171219464453,0.288191793194537,28.4863,1.2792,28.2892,1.382,28.1013,1.48,27.8978,1.5861,0.0219,0.0013,0.0175,0.001,0.031,0.0017,0.0508,0.0029,16.483223,16.029547,15.813668,15.74314,0.023138942
196,4,0.0342,332.1453394502563,-57.29395170459528,0.22671179319453927,7.4447,2.2522,7.073,2.0618,6.7183,1.8801,6.3343,1.6834,0.0327,0.0154,0.0207,0.0094,0.0321,0.0139,0.0549,0.024,17.29927,17.057917,16.757908,16.764908,0.022837708
196,1,0.0342,332.1212838678745,-57.27773774592522,-0.31328820680546166,3.3591,1.1639,3.297,1.326,3.2378,1.4807,3.1737,1.6481,0.0019,0.0028,0.0013,0.0021,0.002,0.0034,0.0033,0.0057,17.858976,17.43603,17.25766,17.154385,0.022832476
196,3,0.0342,332.1321567400203,-57.28301894705007,-0.4310082068054637,19.501,1.0816,19.9518,1.3352,20.3819,1.5772,20.8475,1.8391,0.049,0.004,0.05,0.004,0.092,0.0075,0.1463,0.0119,18.811441,18.478983,18.366858,18.270386,0.022783559
199,4,0.0828,334.6864028586588,-24.19869772673049,0.627680254652029,41.1857,1.4223,38.7232,1.5328,36.3735,1.6383,33.83,1.7525,0.0293,0.0013,0.0197,0.0008,0.0195,0.0009,0.0293,0.0014,18.297972,17.852882,17.673841,17.538633,0.034706965
199,2,0.0332,334.6639509486999,-24.17093920143219,0.15457574849034117,36.631,1.7457,36.8058,1.7389,36.9726,1.7324,37.1532,1.7253,0.0479,0.0021,0.0286,0.0012,0.0393,0.0016,0.0684,0.0028,16.121918,15.251855,14.816747,14.44637,0.035009988
199,1,0.0828,334.6573136068217,-24.16205358286453,0.46308025465202896,7.0723,1.0069,7.3076,0.9855,7.5321,0.9652,7.7751,0.9432,0.0125,0.0042,0.0089,0.0027,0.0136,0.0036,0.0223,0.006,23.733719,22.168388,22.065435,21.698133,0.034934808
201,3,0.044191,335.6026170743777,-61.26484286143308,-0.047792760234512954,13.1792,0.846,12.6094,0.9912,12.0657,1.1297,11.4772,1.2796,0.0091,0.0014,0.0055,0.0008,0.0077,0.0012,0.0133,0.0022,17.544645,17.012247,16.739506,16.599445,0.0352306
201,1,0.044191,335.5829964818444,-61.29467280196997,0.11924723976549068,27.8107,0.8172,26.5693,1.1353,25.3848,1.4387,24.1026,1.7671,0.008,0.0006,0.0047,0.0003,0.0067,0.0005,0.0116,0.0009,17.368069,16.753588,16.41647,16.238579,0.03454934
201,2,0.044191,335.5996443886925,-61.27986027285171,0.26252723976548786,1.7417,2.0378,1.9301,2.3889,2.1099,2.724,2.3046,3.0867,0.0085,0.0408,0.0055,0.0248,0.0073,0.0282,0.0122,0.0479,16.031734,15.211331,14.820726,14.565534,0.035134714
201,4,0.044191,335.6321568483304,-61.29583388651325,-0.2500327602345127,16.233,0.9431,16.6406,1.2702,17.0295,1.5822,17.4504,1.92,0.028,0.0027,0.0236,0.0022,0.0417,0.004,0.0674,0.0066,19.661453,19.008911,18.570517,18.448938,0.034992084
202,2,0.0509,336.3657338106652,-27.70253071905433,0.27581514575578225,19.9446,1.3647,20.149,1.719,20.344,2.057,20.5551,2.4229,0.011,0.0011,0.0072,0.0007,0.0137,0.0013,0.0236,0.0023,16.806868,16.085236,15.786363,15.54024,0.018384205
202,3,0.186063,336.3831938210164,-27.70142831744614,1.1186596191929805,9.4593,1.085,8.8295,1.1098,8.2286,1.1334,7.5782,1.159,0.0239,0.0049,0.0146,0.0033,0.0243,0.0064,0.0423,0.0109,18.276886,17.832067,17.667826,17.535059,0.018322498
204,2,0.0621,338.077933941519,-25.44826101628676,0.48556278143542464,23.9287,0.7718,0.0,0.0,21.5373,1.0942,20.2733,1.2646,0.0773,0.0051,0.0,0.0,0.1018,0.0078,0.1548,0.0125,17.6032,,17.076073,16.954731,0.026364917
204,4,0.0363,338.1124436370977,-25.42637314902058,0.049632831154488244,28.8852,1.5751,0.0,0.0,29.1137,2.4742,29.2345,2.9493,0.0327,0.0025,0.0,0.0,0.0291,0.0023,0.0489,0.0038,15.408287,,14.183406,13.869924,0.026670478
205,2,0.055939,338.2875656427148,-60.92516658869187,0.3343689778610486,13.9089,4.0888,14.087,4.8504,14.2569,5.577,14.4408,6.3636,0.0228,0.006,0.012,0.0032,0.0172,0.0043,0.0319,0.0081,17.36844,16.675177,16.360298,16.164474,0.026471628
205,3,0.055939,338.3103637873838,-60.92873541475647,0.03596897786105124,11.594,0.8873,11.2969,0.9545,11.0134,1.0186,10.7065,1.088,0.037,0.0052,0.028,0.0033,0.0477,0.0063,0.0785,0.011,17.689709,17.167896,16.9772,16.829065,0.026402712
205,1,0.055939,338.2640070806825,-60.9110502359763,0.15860897786105177,11.0069,1.4278,9.9584,1.4608,8.9581,1.4922,7.8751,1.5262,0.0118,0.0025,0.0073,0.0014,0.0073,0.0016,0.012,0.0028,18.573833,18.387644,18.346607,18.299294,0.026766077
205,4,0.054818,338.3209427720652,-60.92597572467674,0.22414595414925387,10.0325,1.5847,10.2799,1.5483,10.5159,1.5135,10.7714,1.4759,0.0125,0.0032,0.0069,0.0019,0.0101,0.0022,0.0183,0.0039,16.173151,15.32048,14.948965,14.687421,0.026472494
209,3,0.0744,343.2215152223864,-24.97424294348244,0.46968545217402813,11.9641,0.8324,0.0,0.0,10.603,1.337,9.8836,1.6036,0.0137,0.0026,0.0,0.0,0.0137,0.0027,0.0213,0.0045,18.381437,,18.078485,18.043959,0.025584737
209,2,0.0742,343.2062039909486,-24.96546547718215,0.5301473916403214,4.3398,4.2592,0.0,0.0,5.3422,3.6465,5.872,3.3227,0.0545,0.0888,0.0,0.0,0.0544,0.0466,0.0861,0.0698,17.469862,,16.666716,16.467876,0.025813174
209,1,0.079258,343.1982580892699,-24.94512935850476,0.46234579934147035,36.7439,0.8214,0.0,0.0,31.9521,1.1948,29.4194,1.3921,0.0435,0.0022,0.0,0.0,0.0248,0.0013,0.0378,0.0021,16.960024,,15.586582,15.197649,0.026288219
210,3,0.0323,343.547251313443,-18.15967245883559,-0.31469537425552474,14.676,1.0232,0.0,0.0,14.67,1.2589,14.6668,1.3835,0.0504,0.0051,0.0,0.0,0.0795,0.0081,0.121,0.0126,17.867336,,17.259737,17.130869,0.041308858
210,4,0.0323,343.5708158779337,-18.15614840085374,-0.17445537425552615,4.0986,2.4196,0.0,0.0,5.0504,2.2235,5.5535,2.1199,0.0106,0.0117,0.0,0.0,0.0148,0.0081,0.0229,0.0131,18.025736,,17.412683,17.280895,0.041407283
213,3,0.078681,347.4462482418533,-48.58462705000017,0.4485593230207403,8.021,0.817,7.609,0.9509,7.2159,1.0787,6.7904,1.2169,0.0091,0.0026,0.0057,0.0016,0.0076,0.0024,0.0129,0.0041,17.987684,17.49154,17.268154,17.14481,0.013657797
213,1,0.078681,347.4357017426645,-48.56294685068662,0.3593993230207442,14.2253,1.2042,13.6079,1.2767,13.0188,1.3459,12.381,1.4209,0.0111,0.0016,0.0066,0.001,0.0092,0.0014,0.0161,0.0024,17.993153,17.516743,17.29809,17.169922,0.014222773
213,4,0.078681,347.4574403050963,-48.57106160520841,1.2003593230207397,12.1807,0.5871,11.9277,0.7122,11.6862,0.8316,11.4248,0.9608,0.0103,0.002,0.0064,0.0012,0.0094,0.0018,0.0161,0.0032,16.35614,15.86517,15.612953,15.487118,0.014161017
213,2,0.078681,347.444762394276,-48.55384331812657,0.7272393230207381,22.1153,1.1294,22.4551,1.5287,22.7793,1.9096,23.1302,2.322,0.0148,0.0011,0.0124,0.0009,0.0214,0.0016,0.0346,0.0026,17.127203,16.640392,16.412401,16.32181,0.014085347
214,2,0.050175,351.9120683663076,-47.05100552668689,-0.02348565659868207,30.9031,2.3293,32.7814,2.6974,34.5736,3.0486,36.5136,3.4288,0.0362,0.0025,0.0231,0.0015,0.0408,0.0024,0.0704,0.0041,18.325823,18.044968,17.96161,17.895416,0.009713742
214,3,0.050175,351.9164013171111,-47.06861576056008,-0.24928565659868518,17.2602,0.5358,17.1265,0.6253,16.999,0.7106,16.861,0.803,0.0341,0.0037,0.0233,0.002,0.0362,0.0035,0.0602,0.0064,18.702808,18.294516,18.130585,18.046974,0.009192308
214,1,0.050175,351.9075465511025,-47.03074114673951,-0.009085656598687208,4.6434,1.3377,4.7527,1.3946,4.8569,1.4489,4.9698,1.5077,0.0075,0.0061,0.0047,0.0035,0.0074,0.005,0.0127,0.0089,18.333342,17.954847,17.839853,17.737017,0.010109277
214,4,0.050175,351.9253353517234,-47.04079402117257,0.842634343401313,12.7065,0.7176,12.6633,0.9312,12.622,1.135,12.5774,1.3555,0.021,0.0034,0.0172,0.0022,0.0298,0.0044,0.0483,0.0076,15.798548,15.298304,15.06479,14.965635,0.010034462
215,1,0.1242,352.3669590000344,-32.44754306333219,0.9817027727633896,21.463,0.7807,19.5092,1.2754,17.6449,1.7473,15.6269,2.2582,0.0347,0.0016,0.0225,0.0011,0.024,0.0019,0.0381,0.0031,20.957495,20.840631,20.718616,20.953764,0.016654084
215,2,0.1241,352.3715011013849,-32.427391174955,0.6150431440797259,16.4875,0.657,14.2502,0.827,12.1154,0.9891,9.8045,1.1647,0.0208,0.001,0.0141,0.0009,0.0133,0.0014,0.0196,0.0022,18.296476,17.75395,17.470179,17.358704,0.016606642
215,4,0.1247,352.389367184466,-32.44844962763192,0.8691524880393509,17.0121,0.6665,15.0113,0.756,13.1022,0.8414,11.0356,0.9339,0.048,0.0023,0.0317,0.0018,0.0319,0.0027,0.0491,0.0043,17.067713,16.223196,15.832665,15.613403,0.016612513
215,3,0.1256,352.3714067618029,-32.40790169684816,0.9515988598846228,29.8896,0.3066,22.4284,0.7486,15.3094,1.1703,7.6031,1.6268,0.3751,0.0195,0.5446,0.0535,0.8987,0.1019,1.3265,0.1556,21.537489,21.396881,21.48916,22.381325,0.0165816
216,2,0.100413,352.534309029643,-44.20566659568149,0.8707994661181875,3.6915,2.371,3.5782,2.1619,3.4702,1.9624,3.3533,1.7464,0.0133,0.0307,0.0086,0.0158,0.0123,0.0216,0.0206,0.0408,17.382492,16.830608,16.518034,16.361443,0.012286343
