Group,Gal,zmemb,ra,dec,logSFR_NUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,mag_g,mag_r,mag_i,mag_z,ebv
216,3,0.100413,352.5592353363334,-44.17708082952119,0.5109594661181891,13.0379,0.6633,12.2184,0.8816,11.4364,1.0899,10.59,1.3154,0.0089,0.0013,0.0053,0.0007,0.0077,0.0012,0.0134,0.0022,19.128706,19.035437,19.015745,18.991566,0.012400882
219,1,0.151401,354.8725750680164,-38.68281662956218,1.0144770684387439,11.4058,0.484,11.1406,0.5967,10.8876,0.7043,10.6137,0.8207,0.0101,0.0017,0.0068,0.001,0.008,0.0014,0.0127,0.0024,17.421202,16.612095,16.232141,16.012918,0.014860652
219,3,0.151401,354.884141158829,-38.66708450291387,1.507357068438747,17.1819,2.5678,17.3192,3.3923,17.4502,4.1789,17.592,5.0305,0.1018,0.0162,0.0585,0.0089,0.0724,0.0124,0.1286,0.0225,19.363283,19.111113,18.782398,18.864374,0.015590299
219,2,0.151401,354.8820962678649,-38.66287818241952,1.2781570684387447,2.5951,2.3246,2.7124,2.3292,2.8243,2.3335,2.9455,2.3382,0.0063,0.0176,0.004,0.0102,0.0049,0.0122,0.0081,0.0215,20.75516,20.656763,20.573755,20.805868,0.015677394
219,4,0.151401,354.9000903358491,-38.66600414549488,0.8455970684387424,17.2095,0.8457,16.7979,1.003,16.4051,1.1531,15.98,1.3156,0.0254,0.0025,0.0159,0.0015,0.0167,0.0017,0.0273,0.0029,17.52419,16.530926,16.118631,15.839213,0.015688432
222,3,0.0656,356.097101122869,-26.03414898592299,0.07618725983358843,7.9864,0.489,0.0,0.0,7.3152,0.6308,6.9605,0.7057,0.0161,0.0061,0.0,0.0,0.0161,0.007,0.0256,0.0112,18.470781,,17.923212,17.788788,0.022182597
222,1,0.0653,356.0772525732302,-26.03991579791621,0.36748594363241693,9.3019,0.7425,0.0,0.0,9.407,0.8217,9.4626,0.8636,0.0121,0.0036,0.0,0.0,0.0149,0.0035,0.0224,0.0058,17.869967,,17.325441,17.215128,0.021982241
222,4,0.0473,356.1180250548215,-26.03973882423549,0.7399018625578915,13.4464,1.1301,0.0,0.0,13.2706,1.6674,13.1776,1.9513,0.0088,0.0013,0.0,0.0,0.012,0.0018,0.0182,0.0028,16.203327,,15.504038,15.295814,0.022598801
223,3,0.004003,357.5307058824425,-47.1908624101798,-1.4915292387075239,46.312,3.3246,50.0284,3.8814,53.5744,4.4126,57.4129,4.9877,0.0691,0.0034,0.0402,0.002,0.0555,0.0024,0.098,0.0041,15.277063,14.516133,14.177931,13.961535,0.014474443
223,4,0.004003,357.5591551925609,-47.17951822743905,-2.0334892387075225,10.5565,1.0906,10.1492,1.3361,9.7605,1.5705,9.3397,1.8241,0.0042,0.001,0.0025,0.0006,0.0034,0.0008,0.0058,0.0014,17.236479,16.523172,16.15034,15.941782,0.014398219
223,2,0.065619,357.5177725993774,-47.17147447864551,1.066358796431608,14.6612,1.1033,13.9984,1.3263,13.3659,1.5391,12.6814,1.7694,0.0168,0.0021,0.0105,0.0013,0.0123,0.0016,0.0206,0.0028,16.092875,15.573241,15.353812,15.187759,0.015353147
223,1,0.004003,357.5073170890037,-47.1479227381393,-2.2216492387075233,10.4462,0.5323,10.5866,0.5735,10.7206,0.6129,10.8657,0.6554,0.0319,0.0047,0.0273,0.0025,0.0366,0.0043,0.0541,0.0078,18.984982,18.677286,18.563356,18.491564,0.015321258
227,1,0.055448,4.225187674543504,-51.08605817611758,0.3600313527603394,22.8158,1.8359,19.8757,1.9608,17.0704,2.08,14.0337,2.2091,0.0348,0.0034,0.0194,0.002,0.0132,0.0019,0.0247,0.0032,19.445799,19.455843,20.787708,21.363405,0.018877365
227,2,0.055448,4.235561687625344,-51.06916144689757,0.678671352760345,11.2654,2.0755,11.9861,2.339,12.6737,2.5904,13.418,2.8625,0.0218,0.0049,0.0137,0.0029,0.0153,0.0028,0.0253,0.0048,16.41378,15.829663,15.550424,15.391289,0.01840152
227,4,0.055448,4.267116172257374,-51.06510107078663,-0.1116086472396578,4.3382,1.1485,4.5924,1.256,4.835,1.3586,5.0976,1.4696,0.0055,0.0041,0.0037,0.0027,0.0046,0.003,0.0075,0.0047,18.491486,17.938833,17.660799,17.536724,0.017599562
227,3,0.055448,4.248883098900224,-51.038932954875,-0.028448647239658342,12.6493,0.8445,12.5754,0.9678,12.505,1.0854,12.4287,1.2127,0.0216,0.0029,0.0143,0.0018,0.0165,0.0022,0.0264,0.0036,17.422434,16.706001,16.33493,16.147608,0.017795358
227,5,0.055448,4.28443846200191,-51.0454105148111,0.022951352760342658,13.4065,0.8196,13.235,0.9621,13.0715,1.098,12.8945,1.2451,0.0041,0.0007,0.0028,0.0004,0.003,0.0004,0.0045,0.0007,18.555084,18.167976,17.892015,17.83711,0.016758109
230,3,0.042866,27.48574877761106,-27.8187794532997,0.8648855003322886,24.6329,0.9885,24.1194,1.2273,23.6294,1.4551,23.099,1.7017,0.0065,0.0006,0.0046,0.0004,0.0056,0.0005,0.0088,0.0008,15.189421,14.511536,14.166996,13.945402,0.01670039
230,1,0.088744,27.46342358877521,-27.82211553235923,0.3380975810440727,18.8856,0.6959,18.5508,0.9306,18.2314,1.1544,17.8856,1.3967,0.0112,0.001,0.0066,0.0006,0.0098,0.0009,0.0172,0.0017,21.414001,21.779606,21.835516,22.2171,0.016425818
230,2,0.042866,27.46902204298467,-27.82031360324704,-0.07811449966771278,11.6435,0.8497,11.181,1.1518,10.7397,1.44,10.262,1.752,0.0351,0.005,0.0266,0.0041,0.0447,0.0076,0.0733,0.0126,19.146675,18.948347,18.836899,18.53851,0.01650874
230,5,0.088395,27.50007935114963,-27.81807803003387,0.5673949813839254,nan,8.7982,0.8527,nan,1.4027,nan,1.998,nan,nan,0.5551,0.0125,nan,0.0202,nan,0.0312,nan,18.411093,18.04078,17.83749,17.752562,0.016837442
230,4,0.042866,27.4914190220405,-27.81209212365086,0.3916455003322845,8.8806,0.629,8.7772,0.8673,8.6786,1.0946,8.5719,1.3407,0.0234,0.0057,0.0181,0.0034,0.0295,0.0067,0.0479,0.0118,16.296076,15.657519,15.336056,15.132566,0.016820326
231,3,0.043634,36.82336604048824,-3.893285465258693,-0.02937036432616047,7.5881,0.9927,7.386,0.9779,7.1932,0.9638,6.9845,0.9486,0.0065,0.0014,0.0044,0.0009,0.0044,0.0009,0.0068,0.0014,22.462748,22.193235,22.009232,22.002169,0.029954087
231,5,0.043634,36.83891221791691,-3.900580587242132,-0.762330364326159,2.8273,0.6845,2.8118,0.7061,2.797,0.7268,2.781,0.7491,0.0133,0.0058,0.0103,0.0042,0.0161,0.0071,0.0259,0.0118,20.489723,20.436155,20.503227,20.471409,0.029404823
231,1,0.043634,36.80908807486127,-3.877155094496457,0.02594963567383779,14.3556,2.2392,13.0616,2.1918,11.8269,2.1465,10.4904,2.0976,0.017,0.0022,0.0101,0.0013,0.0077,0.0011,0.0126,0.0018,17.420431,16.754087,16.470589,16.266943,0.030540712
232,5,0.027396,43.80748224944171,-21.60794332387216,-0.32132610384201676,39.5564,2.9274,38.1443,3.7395,36.7969,4.5143,35.3384,5.3531,0.0396,0.0025,0.0235,0.0014,0.0304,0.0022,0.053,0.0039,18.237408,17.846775,17.720558,17.632238,0.028213501
232,4,0.027396,43.80156729302401,-21.59807925415954,0.10135389615798651,36.1803,0.5515,36.4019,0.5017,36.6135,0.4541,36.8424,0.4026,0.051,0.0018,0.0356,0.0014,0.0384,0.0019,0.0577,0.003,23.538385,23.100643,23.42111,23.148891,0.028398648
232,1,0.027396,43.76156315858119,-21.58691501027293,-0.2831261038420134,17.5104,0.8291,17.0119,0.925,16.5363,1.0165,16.0215,1.1156,0.0454,0.0034,0.0302,0.0022,0.0495,0.0041,0.0838,0.007,17.839724,17.471087,17.264378,17.21036,0.02904442
235,3,0.05828,66.73140597687143,-49.12506145178234,0.6568586672781738,27.9646,4.984,25.67,4.966,23.4808,4.9489,21.1109,4.9304,0.0763,0.0093,0.0493,0.006,0.044,0.0058,0.0664,0.009,16.603977,16.250761,16.09803,15.989478,0.020014493
235,2,0.05828,66.72834628857257,-49.1176649251292,0.12001866727817223,14.3452,2.0113,14.4472,1.9173,14.5445,1.8276,14.6498,1.7305,0.009,0.0016,0.0055,0.0009,0.0066,0.0009,0.0112,0.0015,18.373566,18.072979,17.95097,17.898602,0.02005361
235,1,0.05828,66.71578600950266,-49.11614529629508,0.7201386672781727,11.1825,1.0916,11.0889,1.231,10.9997,1.3639,10.903,1.5078,0.0154,0.0024,0.0101,0.0015,0.0168,0.0026,0.0286,0.0045,17.078983,16.700003,16.501606,16.463678,0.02021754
235,5,0.05828,66.77262982968402,-49.11473712347369,1.1771786672781719,12.501,2.8752,13.4963,3.0509,14.4459,3.2187,15.4738,3.4002,0.0365,0.008,0.0251,0.0051,0.045,0.0075,0.0763,0.0128,15.723197,15.030225,14.719966,14.528512,0.019724023
237,5,0.026321,71.57139410468248,-62.40412860209302,0.21166435143964968,24.833,0.8212,23.7608,0.8848,22.7379,0.9455,21.6305,1.0112,0.0087,0.0008,0.006,0.0005,0.0061,0.0006,0.009,0.0009,15.139791,14.317543,13.926057,13.670286,0.035407055
237,3,0.026321,71.50284145323981,-62.40237746487297,-0.4073356485603572,19.3114,0.6274,19.6289,0.705,19.9318,0.779,20.2598,0.8592,0.0074,0.0008,0.0047,0.0006,0.0065,0.0007,0.011,0.0011,17.074327,16.30066,15.9491,15.721927,0.034941804
237,4,0.026321,71.5550729964343,-62.39761875646517,0.12314435143964353,2.9991,nan,17.4122,nan,31.1644,nan,46.051,nan,0.1262,nan,1.4644,nan,2.7809,nan,4.2073,nan,15.26361,14.564972,14.27966,14.02933,0.03532291
237,1,0.026321,71.45481386898662,-62.41776569133625,-0.49761564856035356,6.6428,5.2923,4.5479,8.391,2.5491,nan,nan,nan,0.0386,0.0424,0.0255,0.0628,0.0134,nan,nan,nan,18.571882,18.347971,18.355682,18.254076,0.034477323
241,5,0.042866,142.0325901872984,26.49247322565904,0.5315255003322896,12.3355,0.7074,12.241,0.7943,12.1509,0.8773,12.0534,0.9671,0.0086,0.0014,0.006,0.0008,0.011,0.0017,0.0187,0.0031,16.676304,16.19528,16.060452,15.909851,0.024994647
241,4,0.042866,142.0258532476654,26.49376774981699,-0.37095449966771454,35.1681,0.7818,33.3905,0.8608,31.6945,0.9362,29.8586,1.0178,0.0514,0.0026,0.031,0.0013,0.0513,0.0026,0.0896,0.0048,18.66047,18.29081,18.175255,18.07334,0.024885865
241,1,0.042866,142.008353507385,26.51216933579245,0.1430455003322848,10.7376,0.6865,10.2447,0.8888,9.7744,1.0818,9.2653,1.2908,0.0179,0.0032,0.0104,0.0016,0.0173,0.0032,0.0307,0.006,17.876442,17.259691,16.936974,16.733969,0.02446773
241,3,0.042229,142.0104928324367,26.5160031019195,0.14748117563352459,10.926,1.7248,10.9227,1.6381,10.9195,1.5554,10.916,1.4658,0.0587,0.0141,0.0359,0.0078,0.0713,0.0154,0.125,0.0277,17.164343,16.698576,16.45312,16.336538,0.024465475
244,4,0.050515,149.9340486061861,13.71238220213917,-0.10645970426724816,13.7901,0.7068,13.9745,0.7318,14.1504,0.7557,14.3409,0.7815,0.0243,0.0029,0.0164,0.0018,0.0192,0.002,0.0302,0.0033,19.318312,19.1529,19.043968,19.333673,0.026366001
244,1,0.050515,149.9037612235202,13.71136496080587,0.3811802957327508,16.8285,0.7197,16.6915,0.7458,16.5608,0.7707,16.4193,0.7977,0.0543,0.0045,0.0355,0.0028,0.044,0.0036,0.0721,0.006,17.657644,17.126326,16.941055,16.707266,0.025945049
244,3,0.050515,149.9117264671549,13.71039518209446,0.3154602957327519,2.5654,0.4838,2.8512,0.6127,3.124,0.7357,3.4192,0.8688,0.0072,0.0039,0.0048,0.0023,0.0043,0.0015,0.0062,0.0027,17.852564,17.50911,17.387968,17.302385,0.026080087
246,1,0.14713,178.4259384473139,21.20632738256356,0.7784620510250022,13.9964,1.6901,15.3478,1.7715,16.6372,1.8492,18.033,1.9333,0.0104,0.0016,0.0064,0.0011,0.0091,0.0012,0.0157,0.0018,18.386911,17.893139,17.56996,17.489614,0.049483284
246,3,0.022989,178.45779519179,21.21923865193194,0.20681974163496442,6.4797,1.0941,6.5885,1.1259,6.6923,1.1563,6.8047,1.1891,0.0288,0.0109,0.0185,0.0065,0.0221,0.0074,0.0363,0.0127,15.682475,15.105555,14.840665,14.698524,0.050044883
246,2,0.14713,178.4391983038034,21.22057342786695,1.0341020510250019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.120758,17.587662,17.26993,17.15391,0.049620304
246,4,0.14713,178.4720251631365,21.23763070552733,0.6494220510250059,9.3485,1.4957,9.3929,1.7313,9.4352,1.9561,9.4809,2.1995,0.0513,0.0114,0.033,0.007,0.0462,0.0106,0.0777,0.0184,19.174301,18.716232,18.49175,18.428982,0.049954344
246,5,0.023058,178.4763396909785,21.24988013158093,0.02318285077825344,34.1986,1.2656,32.7881,1.3007,31.4423,1.3341,29.9855,1.3703,0.0442,0.0021,0.0304,0.0014,0.0329,0.0016,0.05,0.0026,16.274643,15.740941,15.467139,15.314277,0.049502973
249,3,0.062973,199.8865223417374,14.08674718543689,0.30680834778519994,18.1764,0.7983,17.7028,0.8979,17.2509,0.993,16.7617,1.0959,0.0337,0.0028,0.0234,0.0019,0.0256,0.0023,0.0388,0.0037,18.242373,17.926016,17.777369,17.683174,0.023788378
249,4,0.062973,199.8912236688131,14.10843240323915,0.2681683477852008,7.1488,0.7544,6.8948,0.8878,6.6524,1.0151,6.39,1.1528,0.0173,0.0058,0.0115,0.0034,0.0125,0.0048,0.0197,0.0084,17.626263,17.041718,16.762125,16.602589,0.024102064
249,1,0.062973,199.8698713202955,14.08834499195836,0.05344834778519569,4.8193,3.0702,5.4306,2.6917,6.0139,2.3305,6.6452,1.9396,0.0232,0.0226,0.0157,0.0151,0.0194,0.0138,0.0311,0.0201,18.46592,17.902199,17.578945,17.443974,0.023786202
249,2,0.572984,199.8823166725759,14.09254114802676,2.650024570885366,7.9717,3.3549,9.9743,4.0731,11.885,4.7584,13.9533,5.5002,0.1183,0.0595,0.1653,0.0628,0.3123,0.1074,0.4866,0.1663,21.711153,20.02505,19.262766,18.608541,0.023864752
251,5,0.048934,203.0630766554335,-38.88695055417312,0.5671610163595453,16.6932,1.5536,15.9463,1.3819,15.2336,1.218,14.4621,1.0406,0.0835,0.0082,0.045,0.0043,0.0499,0.005,0.0934,0.0095,16.949009,16.36636,16.15801,15.911274,0.07852939
251,2,0.048934,203.0300949550452,-38.87743300651569,0.15816101635954638,33.7023,0.7202,32.9703,0.9086,32.272,1.0883,31.516,1.2829,0.0254,0.0011,0.0128,0.0007,0.0162,0.0009,0.0315,0.0015,19.158598,18.544504,18.184317,17.600729,0.07727286
251,3,0.048934,203.0460311243215,-38.90764365483335,0.20672101635954476,1.5282,6.1087,12.0731,nan,22.1343,nan,33.0256,nan,0.0339,0.206,0.4745,nan,0.9228,nan,1.4084,nan,19.556301,19.096266,18.861782,18.760008,0.0794117
251,1,0.051642,203.0281427034047,-38.89110298805834,0.6381056877808753,12.0923,1.0255,11.4052,1.146,10.7495,1.2611,10.0398,1.3856,0.0101,0.0021,0.0062,0.0012,0.0069,0.0015,0.0116,0.0027,16.228567,15.439775,15.080773,14.811193,0.07807568
256,1,0.139371,211.8383086842967,12.69505053047726,0.7139644133952583,8.3618,0.7773,7.9606,1.2417,7.5779,1.6848,7.1636,2.1645,0.0136,0.0037,0.0086,0.0026,0.012,0.0042,0.0205,0.0069,21.57801,21.538528,21.086033,21.607115,0.029066427
256,2,0.139371,211.8388918649529,12.71961533020138,1.2110044133952567,45.9206,1.4171,44.7959,1.5203,43.7227,1.6187,42.561,1.7252,0.1417,0.0046,0.0907,0.0029,0.1364,0.0047,0.2317,0.008,16.990232,16.465954,16.264658,16.125414,0.02872992
256,3,0.139811,211.8486909178745,12.70900323552399,1.0625822651228383,8.4606,0.7438,8.2411,0.8294,8.0317,0.911,7.805,0.9995,0.0172,0.0042,0.0114,0.0026,0.0156,0.0037,0.0259,0.0065,17.896896,17.379507,17.0962,16.954508,0.028742855
256,4,0.139371,211.855444110578,12.72123880044005,0.7977244133952599,12.8207,1.1786,11.9444,1.397,11.1082,1.6054,10.2031,1.831,0.0349,0.0053,0.021,0.0033,0.0295,0.0053,0.0513,0.0091,18.217432,17.740236,17.472713,17.385906,0.028514748
256,5,0.022959,211.8743287276248,12.73514553097298,-0.010474482819502029,12.3938,0.9767,12.2383,1.1738,12.0899,1.3619,11.9293,1.5655,0.0103,0.0015,0.0085,0.0011,0.0135,0.0019,0.0214,0.0031,16.5203,16.12813,15.91667,15.853944,0.028229045
257,2,0.068338,233.2886034600873,12.8707149103052,0.5280241099997429,1331.0494,nan,1011.0368,nan,705.6996,nan,375.1732,nan,90.2667,nan,68.4611,nan,49.6836,nan,35.4978,nan,18.388336,17.83612,17.62304,17.505924,0.035630323
257,1,0.068338,233.2729583618578,12.87769623601288,0.5133441099997444,14.2297,1.521,14.2955,1.6234,14.3582,1.721,14.4262,1.8267,0.0198,0.0028,0.0156,0.0021,0.0283,0.0038,0.0466,0.0064,16.7706,16.03738,15.707009,15.49726,0.0357734
257,5,0.053224,233.3172699971443,12.89016757945075,0.42235460195825425,5.4368,0.8191,5.465,0.8889,5.4919,0.9555,5.5211,1.0276,0.0038,0.0021,0.0027,0.0011,0.0044,0.0021,0.0072,0.0037,17.320753,16.936583,16.729567,16.67497,0.036123555
257,3,0.05246,233.2958093420866,12.87982927649163,0.32963615359093446,16.5452,1.1528,16.9679,1.3264,17.3713,1.4919,17.8079,1.6712,0.0773,0.0071,0.0751,0.0068,0.1386,0.013,0.2218,0.021,17.651278,17.17539,17.029543,16.886988,0.035867654
257,4,0.068338,233.2999885873705,12.87884082287716,0.2236641099997403,15.7361,1.421,15.4047,1.732,15.0886,2.0288,14.7463,2.3501,0.0122,0.0017,0.0077,0.0011,0.0131,0.002,0.0226,0.0034,18.870964,18.525127,18.421066,18.350044,0.035845887
258,4,0.063283,243.3142685638308,8.534118709433525,0.1247936994497163,14.683,0.6156,14.9447,0.6894,15.1944,0.7598,15.4646,0.836,0.0218,0.0025,0.0158,0.0014,0.0237,0.0024,0.0385,0.0042,20.626038,20.653368,20.925533,21.115934,0.048540704
258,5,0.062771,243.3343156795341,8.528220532677464,0.5496576759182599,12.8392,0.6933,12.589,0.8613,12.3502,1.0216,12.0918,1.1951,0.0202,0.003,0.0131,0.002,0.0156,0.0024,0.0255,0.0039,17.740112,17.38774,17.28475,17.191853,0.04743488
258,2,0.081592,243.2825139748998,8.561925895808448,0.9587147386346473,9.9592,1.5687,9.9799,1.6086,9.9996,1.6466,10.021,1.6878,0.0135,0.0031,0.0085,0.002,0.0103,0.0023,0.0172,0.0037,17.334225,16.66734,16.370333,16.190897,0.048917394
258,3,0.063184,243.3033168019533,8.549468157691074,0.4961938138672064,29.7254,0.4834,28.9932,0.6284,28.2947,0.7668,27.5385,0.9166,0.0323,0.002,0.0215,0.0013,0.0254,0.0017,0.0405,0.0029,17.067705,16.446115,16.201395,15.993311,0.048747487
258,1,0.063283,243.2775616802146,8.565714491048931,0.4261136994497132,18.1138,1.0438,17.5149,1.2633,16.9434,1.4727,16.3248,1.6994,0.0948,0.0091,0.0666,0.0067,0.0901,0.0103,0.1447,0.0168,17.901693,17.43859,17.254444,17.128876,0.048901305
262,1,0.046689,321.9603809358175,-46.65445887135356,0.03736872542566161,26.9551,1.1581,28.296,1.9163,29.5755,2.6397,30.9605,3.4228,0.0139,0.0009,0.0131,0.0009,0.0247,0.0017,0.04,0.0028,17.710161,16.949284,16.579336,16.354359,0.03692303
262,2,0.046689,321.9803722952888,-46.62945151994469,0.7166487254256637,nan,4.9325,nan,3.9573,nan,3.0268,nan,2.0196,nan,2.6899,nan,4.6197,nan,9.2666,nan,14.5579,15.299523,14.602889,14.259245,14.038378,0.03631128
262,5,0.046689,322.0155890912923,-46.6450152317731,0.34440872542566225,11.5511,0.5178,11.1118,0.7064,10.6926,0.8863,10.2388,1.0811,0.0117,0.0021,0.0071,0.001,0.0115,0.002,0.02,0.0038,16.081465,15.232244,14.84587,14.593493,0.03599123
266,2,0.031292,6.274833842005006,-60.63986439378154,0.19728622423023978,27.872,0.9206,27.3605,1.1533,26.8724,1.3753,26.3441,1.6156,0.0194,0.0011,0.0123,0.0007,0.0195,0.0012,0.0334,0.002,16.237936,15.68369,15.410184,15.257666,0.017455896
266,5,0.031292,6.318018436241082,-60.63820391152989,-0.6008337757697575,9.5155,1.07,9.419,1.1183,9.3269,1.1644,9.2272,1.2143,0.0152,0.0043,0.0095,0.0023,0.0151,0.0037,0.026,0.0067,17.664347,16.952177,16.597343,16.393644,0.01762879
266,6,0.031292,6.338880315262402,-60.63962433766238,-0.6247137757697558,18.2364,1.232,18.482,2.3569,18.7163,3.4301,18.9699,4.592,0.0285,0.004,0.0229,0.0035,0.0402,0.0064,0.0656,0.0103,19.066948,18.612139,18.417341,18.314669,0.017493093
266,1,0.031292,6.252241493057555,-60.62251047710762,-0.23311377576975545,19.0287,0.8188,18.5499,1.0177,18.093,1.2075,17.5984,1.413,0.0424,0.0032,0.0334,0.0026,0.0569,0.0047,0.0927,0.0077,17.82563,17.389734,17.188404,17.144663,0.017490756
266,3,0.031292,6.313142233874859,-60.61675958546626,-0.27123377576975827,9.5923,1.6274,9.5451,2.1155,9.5,2.5811,9.4512,3.0852,0.0211,0.0061,0.0117,0.0034,0.0192,0.0056,0.0346,0.0102,17.863699,17.56343,17.376158,17.291853,0.017619334
266,4,0.031292,6.314875842935283,-60.62220577965579,-0.6354337757697586,12.9506,1.5216,12.2661,1.6554,11.6131,1.7832,10.9061,1.9214,0.111,0.0183,0.0598,0.0097,0.0962,0.0173,0.1756,0.0317,16.945152,16.063745,15.603269,15.27201,0.017617475
272,2,0.091141,124.9981734247242,21.05448622698866,0.3404471597945573,41.736,1.3493,41.2326,1.4317,40.7523,1.5103,40.2324,1.5954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.074701,17.522003,17.247204,17.093176,0.051957216
272,3,0.091141,125.0043760513464,21.0759579754963,0.45248715979455767,69.1545,3.9796,84.5402,5.1495,99.2204,6.2656,115.1116,7.4739,0.0001,0.0,0.0001,0.0,0.0002,0.0,0.0003,0.0,18.325756,17.815989,17.54775,17.392115,0.051062625
272,6,0.091141,125.0557306158663,21.08787065241248,0.4207671597945577,11.0715,1.1684,10.5434,1.238,10.0395,1.3043,9.494,1.3761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.174387,17.778305,17.63978,17.510563,0.048579916
272,1,0.014046,124.9952836513279,21.06622908547324,-0.13803509075719766,nan,0.731,nan,0.6255,nan,0.5248,nan,0.4157,nan,756913.8064,nan,591189.7078,nan,541763.9686,nan,637093.9356,15.755775,15.270266,15.03308,14.928413,0.051522806
273,2,0.06907,168.6142807388433,-0.85006471540606,0.4730784930945635,14.138,1.9048,13.2103,2.0137,12.3252,2.1176,11.3671,2.2301,0.0189,0.0034,0.0127,0.0022,0.0127,0.0024,0.0191,0.0038,17.477701,17.131311,16.93252,16.893799,0.04003812
273,1,0.027858,168.6037850872668,-0.8308699168587196,-0.5560005508180961,19.5155,1.2593,20.0826,1.4198,20.6237,1.5731,21.2094,1.7389,0.0813,0.0068,0.069,0.0055,0.1172,0.0092,0.1879,0.0149,17.804916,17.273277,17.036987,16.933651,0.04062133
273,4,0.0691,168.6418172276092,-0.8642468454693131,0.4632956758306648,33.1645,0.7186,33.9234,0.7152,34.6476,0.712,35.4314,0.7085,0.0577,0.0024,0.0415,0.0013,0.0578,0.0019,0.0926,0.0034,17.319115,16.898642,16.723915,16.613955,0.040802598
273,5,0.069293,168.6477687319171,-0.8678292086364374,0.592038309615484,16.8659,1.6889,16.9658,1.88,17.0612,2.0623,17.1643,2.2597,0.079,0.0088,0.0526,0.0057,0.0846,0.0091,0.1429,0.0155,21.77915,21.533123,21.525019,21.559715,0.04094188
279,6,0.099919,196.8375094825033,13.62904967476489,0.7805957389270137,40.2777,2.3304,43.2353,2.6445,46.0572,2.9442,49.112,3.2687,0.0606,0.0029,0.0467,0.0021,0.0741,0.003,0.1195,0.0048,17.339964,16.48962,16.058962,15.779421,0.027394893
279,3,0.100102,196.8031051256991,13.64676556158885,0.5431450902923896,18.1723,1.8667,16.2717,2.08,14.4582,2.2835,12.4952,2.5038,0.0502,0.0064,0.0342,0.005,0.0317,0.0061,0.0455,0.009,18.172922,17.52739,17.204063,17.017136,0.027176252
279,2,0.027162,196.7985132163119,13.65916868947854,0.022463070840059274,30.6487,0.7109,29.9418,0.8378,29.2673,0.9589,28.5371,1.0899,0.0314,0.0014,0.0255,0.001,0.0382,0.0018,0.06,0.0029,16.640535,16.138847,15.893824,15.77785,0.02733133
279,4,0.026784,196.8227238777917,13.64656389347493,0.09161045370859888,18.2293,1.2856,17.655,1.4805,17.107,1.6664,16.5139,1.8677,0.0484,0.0046,0.0343,0.0033,0.0519,0.0056,0.085,0.0093,16.075117,15.513267,15.248016,15.105432,0.027672172
279,7,0.063226,196.8598710304953,13.64147809928029,0.5276509950684165,12.2839,1.1247,11.5093,1.206,10.7702,1.2836,9.9701,1.3677,0.0437,0.0062,0.0297,0.0037,0.0345,0.0054,0.0544,0.0094,17.091547,16.514082,16.26588,16.096516,0.027907344
279,1,0.099919,196.7951346691029,13.68061652665661,0.506275738927016,21.3417,0.7021,20.2092,0.6374,19.1286,0.5756,17.959,0.5087,0.2332,0.0162,0.1994,0.014,0.2541,0.0213,0.3662,0.033,21.177618,21.06453,21.061552,21.004063,0.027497085
